Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
,,TriVal,https://www.dotabuff.com/players/1203364439,6730,2,2,3,5,5,
,,SteveyRuggles,https://www.dotabuff.com/players/83514255,6500,1,5,1,1,1,What's the worst that can happen?
,,Citrus King,https://www.dotabuff.com/players/37544998,6301,2,2,2,5,5,Looking to play 4 or 5 
,,mid or courier adventure,https://www.dotabuff.com/players/92001890,6249,4,5,4,2,2,i am 6k and don't you forget it
,,Wii Sports Master,https://www.dotabuff.com/players/119541084,5914,4,5,1,2,2,dont let vuvu draft me
,,big lou,https://www.dotabuff.com/players/188649776,5759,5,3,3,1,1,"only interested in playing pos 1 this season, havent been playing mid dont feel like playing mid, that being said there is one captain that could convince me to play mid."
,,SkinnyBear,https://www.dotabuff.com/players/99929152,5728,2,5,5,1,1,Enjoyed playing with my last team and looking forward to playing with the next.
,,Ratman,https://www.dotabuff.com/players/171871486,5700,2,2,3,5,5,"My name is Ratman, Batman was taken  20 years ago when I created this high IQ alternative of a name.  I like to play the position 4 role but I am open to becoming anti value in other roles.  "
,,DoomCow33,https://www.dotabuff.com/players/172199571,5653,5,5,5,5,5,"how can admins keep letting gskw standin for players less than 6k, that guy is so crazy good its ridiculous. hiding behind the fake uncalibrated excuse. every week he griefs some unlucky team into playing against him. its so unfair. he even plays all 5 roles. what insane value. every day he goes unbanned is a day the league continues to rot. smh #banGSKW"
,,ChowMains (3k btw),https://www.dotabuff.com/players/101960024,5615,3,1,3,1,3,"Shrimply here for fun, shan't be doing any scrims no matter what."
,,emocvst,https://www.dotabuff.com/players/314264248,5541,1,1,5,1,1,"washed, pos 3 only, i dont play real offlaners"
,,ExO,https://www.dotabuff.com/players/45626568,5443,1,1,1,5,5,"Nyt lähden tanssimaan, niinku cha cha cha. Enkä pelkääkään tätä maailmaa, niinku cha cha cha"
,,Treebeard,https://www.dotabuff.com/players/95576973,5400,1,1,1,1,3,Moca/Tree/Tokc 📦 deal
,,Sokaza,https://www.dotabuff.com/players/83999083,5300,5,1,5,3,3,
,,ß r ¡ N x,https://www.dotabuff.com/players/411532299,5020,2,4,4,2,2,"https://www.dotabuff.com/players/411532299

Hello, I play mid and off lane really well. I play aggressively and not afraid to do risky plays, also not intimidated playing against higher Ranks. I play lots of mid and offlane hereos than what you see with my most played heroes in my account. I work well with team mates and down for crazy ideas."
,,TheKloost,https://www.dotabuff.com/players/153864932,4960,3,2,5,5,4,"Juicy's Ass about to get smacked in next season!
https://www.dotabuff.com/players/153864932
"
,,AwfulWaffLE,https://www.dotabuff.com/players/64041417,4943,1,2,3,5,5,I'm available most nights except Mondays.
,,AllRoundGoodGuy,https://www.dotabuff.com/players/167829403,4910,5,1,3,1,5,No cares idc.
,,Moon,https://www.dotabuff.com/players/1095018804,4871,3,2,2,2,4,"Lose Together, Win Together, Slay Together, Slay Together, Slay together."
,,samppa,https://www.dotabuff.com/players/167753243,4850,3,2,5,5,4,Yup Buck got me in for once so I am here! Would love to play 4 but love 3. Happy to fill and be a positive influence yaddah yaddah
,,Zoompa,https://www.dotabuff.com/players/57011991,4819,1,1,2,4,5,https://media.discordapp.net/attachments/964180033356824586/1217527825335193821/my-mate-of-25-years-just-sent-me-this-v0-dgad47k664nc1.jpg?ex=6616cf26&is=66045a26&hm=90a6cbf7be5c7fff823bd1b609e0488b1d186d01f2b2cfbda53093dceed27272&=&format=webp&width=423&height=752
,,Durzo,https://www.dotabuff.com/players/90793653,4688,2,2,4,4,3,"First time in RD2L, no other accounts. Main pos 3/4 in solo queue."
,,Funk,https://www.dotabuff.com/players/128727925,4661,1,1,3,5,5,
,,!Saul,https://www.dotabuff.com/players/216650131,4661,5,4,1,1,1,Better than scrub. Carry plis
,,hanmingzyy,https://www.dotabuff.com/players/74883563,4656,1,5,2,1,3,Playing more ability draft lately but dota is fun too
,,ShadowAce,https://www.dotabuff.com/players/167390514,4640,2,1,1,1,1,"Will play any role, not sure how much Dota I'll be playing. Package deal with Avro."
,,Yamez,https://www.dotabuff.com/players/177129466,4558,2,1,2,4,5,Ancient/Divine support. That's really all there is...
,,George,https://www.dotabuff.com/players/240889153,4546,5,3,5,5,3,Pepega
,,BooshBear,https://www.dotabuff.com/players/206991488,4412,1,2,3,5,5,Pls i will not pos 1
,,Osis,https://www.dotabuff.com/players/75864841,4158,3,3,4,3,3,"Hi! I took a break from dota for a bit but I've been getting back into the game over the last couple of patches. I'll play whatever role you want me to, and I could flex between matches if that's what works. I'd like to be on a team that values a balance of competitiveness and friendliness. I can help out with suggestions in drafts but I'd prefer not to be the drafter."
,,mr. world wide,https://www.dotabuff.com/players/94560711,4069,4,1,3,3,3,1>3>5. trying to get back into organized comp dotos
,,phattywhale,https://www.dotabuff.com/players/134263854,3921,5,3,5,3,4,I  can play any role but I am most comfortable in safelane/offlane. PMA just wanna have fun crush noobs.
,,Smashe,https://www.dotabuff.com/players/16710765,3910,4,3,5,2,2,Will play any role for a winning team. Can’t play supp for a team with cores worse than me though or I’ll be too greedy. True mmr is prob like 3600 but sitting at 4.0k flat currently
,,Woh?,https://www.dotabuff.com/players/152985237,3907,1,1,1,2,3,https://www.youtube.com/watch?v=_fJjjBRc200
,,Nameless 💀,https://www.dotabuff.com/players/67028556,3885,3,2,5,5,5,"3/4/5 player that occasionally plays 1. I'd be happy to play any of these for the league since I want to improve in any area. Primarily only playing league games on Sundays.

https://www.dotabuff.com/players/67028556
"
,,TCSlayer,https://www.dotabuff.com/players/175578085,3796,2,1,5,4,2,Found my mmr again just in time to use all that anti value
,,GSKW,https://www.dotabuff.com/players/66532818,3696,4,4,4,4,4,Doomcows feet smell like old people
,,♂K[A]livunkka♂,https://www.dotabuff.com/players/79878292,3682,3,3,1,2,2,Extremely washed up 4 fun gamer
,,StonedSpirit,https://www.dotabuff.com/players/109140387,3676,5,2,5,3,5,"whatever role is fine. best at 1, 3, 5."
,,BMartinez54,https://www.dotabuff.com/players/213476765,3669,5,2,2,4,4,"https://www.dotabuff.com/players/213476765

play pos 1, former nfl player"
,,Jesus is Lord,https://www.dotabuff.com/players/1117567038,3652,3,5,3,3,3,just wanna play ong
,,Dream,https://www.dotabuff.com/players/58762087,3501,4,3,4,4,4,comfortable in any role. enjoy getting to know new folks to play pubs on the regular and would be a plus if on a team that strives to improve individually and build synergy together.
,,Maiev Shadowsong,https://www.dotabuff.com/players/197535996,3476,1,5,5,1,5,"I like playing active roles (pos 1, 3 and 5 are my strongest)."
,,Cam_Corder,https://www.dotabuff.com/players/118858955,3463,1,1,1,5,5,"""3K bounty hunter 1K everything else"" - The dota community
4/5 roles"
,,MAPPO,https://www.dotabuff.com/players/123919855,3387,1,1,1,1,1,
,,qualis artifex pereo,https://www.dotabuff.com/players/186018345,3159,2,1,4,5,5,"I only have my one account - https://www.dotabuff.com/players/186018345 
I am also intending to play in the Wednesday (6pm PST) league 
This will be my first time participating in a league like this and I'm very excited!!"
,,NOT_OK,https://www.dotabuff.com/players/970875330,3137,1,2,5,4,3,safe is dog
,,Newbycakes,https://www.dotabuff.com/players/24521769,3076,5,1,3,4,5,"Look idc anymore just don't grief me man
probably going to smoke trees and not say anything in discord this season. "
,,Space Cowboy,https://www.dotabuff.com/players/123736773,2925,1,1,1,1,1,"Greediest player in rd2l, and I don't know how to ward"
,,rtg,https://www.dotabuff.com/players/121797575,2799,3,2,5,5,3,
,,Ridin' heelies escapin' feelies,https://www.dotabuff.com/players/84060273,2590,1,1,3,4,2,Unethical boosted shitter noob. Slightly prefer not core but idc it seemed to work out last season. I have 20% ranked confidence now. Will only captain if i get my extra $50. *Screenshot updated for the first time in 4 years*. 
,,mangi,https://www.dotabuff.com/players/118563219,2560,1,1,1,4,5,
,,Avro,https://www.dotabuff.com/players/253953652,2540,3,1,1,5,1,"I haven't played Dota in half a year. Drafting me is pure troll. If you want a pawn you can ask to de-ward knowing you are sending him to his death, for your own sick pleasure, I am your guy. Ogre enjoyer"
,,Blinker Cheers!,https://www.dotabuff.com/players/849615927,2500,5,4,3,3,4,"New to RD2L, want to play some competitive more team oriented dota. "
,,[PDF] Saltpork,https://www.dotabuff.com/players/108686019,2302,1,1,2,4,5,"High passion, low skill, i can play whatever you want me to but have a preference for lane bullies such as undying venomancer chen or silencer"
