Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
shadonra,305,MGHappyhobo,https://www.dotabuff.com/players/260316741,6580,3,3,5,2,2,"I play offlane, but in rd2l I guess I play 1 and 2 also. I'm pretty pma, very interested in playing good dota, and will leave team if people are shitty or petty or racist. I like coaching and helping others improve, so definitely prefer to play with people that actually want to improve."
jmcconnell,240,Flesh,https://www.dotabuff.com/players/126042590,6430,1,1,1,1,1,".img mcchicken boy
Real account https://www.dotabuff.com/players/183713013"
Pearberr2,305,quad_buck,https://www.dotabuff.com/players/456063778,6070,3,3,3,3,1,any role but pos 5(don't expect me to shotcall)
Yop,186,wheres the leak mam,https://www.dotabuff.com/players/130527149,5870,1,1,1,3,5,https://imgur.com/a/tv4W1Fx
CRAP,300,SteveyRuggles,https://www.dotabuff.com/players/83514255,5850,1,5,1,1,1,"4.8k peak solo mmr. Kind of burnt on dota, so might remove my signup. Won't draft or shotcall. Tend to avoid playing with the team, which leads to getting solo kills and then losing dota games."
TCSlayer,275,Simple,https://www.dotabuff.com/players/351936929,5840,1,5,1,1,1,Don't pick me unless you want to be placed low in pre-season rankings.
*Kisses*,265,itachi,https://www.dotabuff.com/players/466360314,5800,3,5,1,2,1,Iâ€™m back.
nooyin,272,Polo5885,https://www.dotabuff.com/players/109428465,5700,1,5,1,1,1,"I dont really draft/shotcall, might be gone week 0
only wanna play mid"
Wicked_SiCK,200,BlimpK,https://www.dotabuff.com/players/381531402,5570,3,3,4,4,3,"Just out here trying out auction draft, wasn't all that successful last season in RD2L. I'm best known as Epik's Cocaster"
Tyr,200,smacktrickz,https://www.dotabuff.com/players/157808123,5520,1,1,1,1,1,2nd rounder
Wicked_SiCK,155,OneDay,https://www.dotabuff.com/players/100918634,5280,1,1,3,3,5,5
Ezpz,250,Bigspacely,https://www.dotabuff.com/players/463402452,5200,1,2,3,5,5,
vehtwo,180,fc,https://www.dotabuff.com/players/86770710,5200,1,1,1,3,5,
Mooshack,185,doofgod,https://www.dotabuff.com/players/41319577,5170,1,1,2,1,1,"Good morning. I am offlaning, depression memes and ponies personified."
Teresa,250,!Saul,https://www.dotabuff.com/players/216650131,5150,5,5,1,1,1,I am fun and cute
Teresa,212,MidOrChen,https://www.dotabuff.com/players/96634411,5140,2,1,5,4,1,Beware my inability to win games or play real heroes
Ezpz,140,darth pikachu,https://www.dotabuff.com/players/89772237,5050,3,1,3,5,4,"Mostly pos 4, can swap to 5 depending on picks. Can also flex into 3 or 1 depending on the hero (limited hero pool for those roles). Looking to be on a team that will have fun/be positive! :) I like to contribute to drafting and ideas / strategies , but I wouldn't be comfortable leading it."
Tyr,133,Zoompa,https://www.dotabuff.com/players/57011991,5000,1,1,2,4,5,https://img.ifunny.co/images/62b27e6de311b7f855b1bceb96a6bcbc7798a60f2ca310099eb48bcb13b9bbd1_1.webp
TCSlayer,290,BigBoiAnus,https://www.dotabuff.com/players/92426855,5000,5,1,1,1,1,
Vuvuzela Virtuoso Hans Rudolph,246,hanmingzyy,https://www.dotabuff.com/players/74883563,5000,2,5,2,3,3,"Haven't been able to play much recently, but I should still be ok"
vehtwo,220,Keynote,https://www.dotabuff.com/players/110580215,4960,5,4,3,5,4,I can play anyday after 6 PST
ar,190,PooNaNi,https://www.dotabuff.com/players/63821745,4940,5,5,5,5,5,"I probably suck now, but I like to have fun. I'll play any role"
Miyu,250,ZombiesExpert,https://www.dotabuff.com/players/119224130,4850,2,1,5,1,1,
ar,212,King Kende Plus,https://www.dotabuff.com/players/60563546,4830,1,1,1,1,1,im just here to have some fun (:
bsvhsvj,228,Tree,https://www.dotabuff.com/players/95576973,4800,1,1,1,1,2,The only admin abuse I'll do this season is drain the bank of whichever idiot picks me mid-draft
*Kisses*,252,DoomCow33,https://www.dotabuff.com/players/172199571,4800,5,5,5,5,5,i am retired and interested in playing a position other than 1 but idc ill play whatever Â¯\_(ãƒ„)_/Â¯.  if you bid more than 33% of your money on me you are griefing ty
nooyin,135,USS,https://www.dotabuff.com/players/103125509,4770,3,2,3,3,3,"Ok playing any position, bit rusty, not much draft knowledge"
jmcconnell,169,Mason,https://www.dotabuff.com/players/108050692,4670,1,1,3,5,1,anti value 4 player
Jotatoe,185,Burrahobbit,https://www.dotabuff.com/players/75632156,4600,4,2,5,3,2,If I get picked for mid I will move across the country and quit the league. Also OMG REAL E-GIRL????!
bsvhsvj,181,Elidoto2,https://www.dotabuff.com/players/904350779,4550,3,5,1,5,1,"dm me ahead of time if ur thinking of drafting me, ty! safelane only with immortal mid :)"
Jotatoe,120,yolksoup,https://www.dotabuff.com/players/112220059,4510,3,1,3,3,3,"HI I AM YOLKSOUP, I LIKE LION A LOT. I PLAY BASICALLY ANYTHING EXCEPT MID. UHHH I TILT A LOT PLAYING CORE CAUSE I LACK SELF CONFIDENCE BUT YEA. I'M ALSO ANTI-VALUE. I WATCH EE EVERY NIGHT. LIONNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"
Yop,120,Effjai,https://www.dotabuff.com/players/136477138,4500,1,1,1,1,1,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Mooshack,185,Fallen,https://www.dotabuff.com/players/127264062,4480,5,1,1,1,1,"Pos 1 please
Gang"
Miyu,90,Predict,https://www.dotabuff.com/players/45285344,4370,5,1,1,1,5,"If u pick flesh, pick me pls ty. dota 2 player https://www.youtube.com/watch?v=2XK0jfSMroY"
Tyr,100,ChowMains (3k btw),https://www.dotabuff.com/players/101960024,4320,5,1,3,3,3,"help big bro, im hard stuck ancient"
vehtwo,100,George,https://www.dotabuff.com/players/240889153,4220,5,3,3,5,4,Washed up to the point that I make a beached whale look like nothing.
Wicked_SiCK,160,ProphetofShawo,https://www.dotabuff.com/players/99413158,4190,1,2,5,1,1,"Hey I only play offlane. I have a hero puddle of maybe 1 or 2 heroes mid, so probably for the best that that doesn't happen."
Tyr,111,AngetriS,https://www.dotabuff.com/players/40865572,4150,5,1,3,5,3,"Hi I will be registering for EST MON, EST SUN and PST SUN. I play POS 4 and 1 I occasionally play POS 3 but my hero pool is limited in that role. I fluctuate mmr between 4100 to 4700. My Drow ranger sits between top 50 to top 10 on Dota buff rankings. I have 3 GM heroes, 1 M, and 6 Platinum. I work in leadership and teaching positions IRL which helps me having a very strong team oriented mind. I always play 1 step ahead in Dota2 analyzing what is the next best move and what items the team needs."
Pearberr2,150,phattywhale,https://www.dotabuff.com/players/134263854,4060,5,2,5,1,2,"This will be my 2nd season (currently in SZN24 Finals!!!), really enjoyed my first RD2L league. Strongest roles are 1 and 3 by far. Love the organized team environment. I tend to be a vocal player and always looking to improve.

https://www.dotabuff.com/players/134263854 - Main
https://www.dotabuff.com/players/414680783 - 2nd acct"
Vuvuzela Virtuoso Hans Rudolph,69,PiNGdingDONG,https://www.dotabuff.com/players/332242377,4030,3,3,2,5,2,
Vuvuzela Virtuoso Hans Rudolph,114,rabisu,https://www.dotabuff.com/players/31099799,4020,1,1,1,1,1,
shadonra,66,GSKW,https://www.dotabuff.com/players/66532818,2000,1,1,1,1,1,"I do not currently have dota 2 installed. Dota 2 will not be reinstalled. I am signing up as moral support and so whoever gets me can get a rigged FA.
https://media.discordapp.net/attachments/671126788071489551/916183030144598026/unknown.png"
