Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
AllRoundGoodGuy,221,TriVal,https://www.dotabuff.com/players/1203364439,6895,2,1,2,5,5,lion
mid or courier adventure,259,slowz-,https://www.dotabuff.com/players/170288961,6641,5,5,5,5,5,i sometimes hate the french
Jimmy Pesto,264,big lou,https://www.dotabuff.com/players/188649776,6530,5,5,4,3,1,"if i get griefed i go back to poe. gskw style, i wanna play pos 1 again or 3 no mid tho, i will give draft input but i do not want to be the button clicker as i will be preoccupied with the weed"
Space Cowboy,186,ZombiesExpert,https://www.dotabuff.com/players/119224130,6067,1,1,2,1,1,extremely washed. Valorant main.
MrFishay,230,DoomCow33,https://www.dotabuff.com/players/172199571,5841,5,5,5,5,5,Man i can't believe how anti-value this DoomCow guys is. Why do we keep letting an obvious account buyer signup for this league every 4 months? Like seriously what the fuck is wrong with admins. Do they unironically think this braindead idiot could hit immortal without paying for boosting? Another signup another season the admins continue to let the league rot. Please don't let him captain and extra gief four other players.
AllRoundGoodGuy,132,Nasty,https://www.dotabuff.com/players/159164400,5560,3,1,5,3,5,goofy heroes ONLY
juicy,216,Empty Cloud,https://www.dotabuff.com/players/120052382,5538,3,5,2,5,2,https://www.youtube.com/watch?v=qrP4oey2_ys
Space Cowboy,205,Wii Sports Master,https://www.dotabuff.com/players/119541084,5460,4,5,1,2,2,uhhh uhuhhghghhhh ummm heh uh yeah
KatzeHund,132,George,https://www.dotabuff.com/players/240889153,5300,5,3,5,5,2,You're only going to get value out of me if you 3rd round pick me.
Jimmy Pesto,170,TheKloost,https://www.dotabuff.com/players/153864932,5217,3,2,5,5,4,"Please don't draft me if you're a tilter. Last season was my first time in this division and it was a lot of fun. Didn't play Juicy's team though. Still sad about that. Draft me for whatever you want me to be playing/ Pref 3-4
https://www.dotabuff.com/players/153864932"
juicy,186,Tokc,https://www.dotabuff.com/players/96895570,5205,1,1,1,1,1,La Matriarca L’amore dice ciao c’est la vie mon cherie
Beach Jeans,200,Treebeard,https://www.dotabuff.com/players/95576973,5200,1,1,2,1,2,Cev + Tree 📦 deal
MrFishay,117,ExO,https://www.dotabuff.com/players/45626568,5166,1,1,1,5,5,
KatzeHund,137,Xentavious,https://www.dotabuff.com/players/83845896,5089,2,2,2,1,5,"boosted by double downs, I suck at everything besides pos 5 god bless"
Bocasa,107,Nameless 💀,https://www.dotabuff.com/players/67028556,5075,3,1,5,5,4,"👈(ﾟヮﾟ👈)

looking to play 3 first, 4/5 second. Will flex to 1 if needed. Don't draft me for 2.

(👉ﾟヮﾟ)👉"
Jimmy Pesto,125,Samppa,https://www.dotabuff.com/players/167753243,5050,3,2,5,4,4,"A real thirst for dem good ol discord Bot Stats, mainly offlane and 4, open and flexible for whatever my captain desires"
MrFishay,194,solace :3,https://www.dotabuff.com/players/170273113,5012,2,4,1,3,3,hello! dotabuff: https://www.dotabuff.com/players/170273113. i play mostly pos 2 but can do 4 or 5. look forward to playing with you all!
Clare ❤ Teresa,150,AwfulWaffLE,https://www.dotabuff.com/players/64041417,4959,1,2,2,4,5,
Space Cowboy,125,Zoompa,https://www.dotabuff.com/players/57011991,4630,1,1,2,4,5,https://twitter.com/kokebanana/status/1812101752029880443
Clare ❤ Teresa,116,ButteryGreg,https://www.dotabuff.com/players/47669091,4600,5,3,1,3,3,please see my pst-wed signup for more information
Space Cowboy,82,phattywhale,https://www.dotabuff.com/players/134263854,4560,5,3,4,2,2,Highly motivated gamer pick me and have fun time playing DOTA2. Best on any core role
mid or courier adventure,39,mr. world wide,https://www.dotabuff.com/players/94560711,4406,4,2,4,2,3,"picture that with a kodak. mr 305 plays 1,3,5"
Clare ❤ Teresa,122,Yamez,https://www.dotabuff.com/players/177129466,4404,1,1,2,4,5,"AD spammer. I play support, more 5 heroes than 4's. Not good enough to be drafter."
AllRoundGoodGuy,80,Ez.Sky,https://www.dotabuff.com/players/181114719,4195,3,2,5,2,1,
Bocasa,130,Osis,https://www.dotabuff.com/players/75864841,4158,4,4,5,4,4,I drink your milkshake (pos3/flex player)
Bocasa,49,BMartinez54,https://www.dotabuff.com/players/213476765,4158,5,2,3,4,4,rd2l season 32 as a carry
KatzeHund,111,hanmingzyy,https://www.dotabuff.com/players/74883563,4124,2,5,3,2,3,Can pub or scrim with advanced notice
Clare ❤ Teresa,83,Durzo,https://www.dotabuff.com/players/90793653,4109,1,2,5,4,3,"https://www.dotabuff.com/players/90793653

I played pos 3 last season, which was my first time doing RD2L. I would be fine playing pos 4 as well."
Beach Jeans,150,Smashe,https://www.dotabuff.com/players/16710765,4077,3,4,5,2,2,"prefer 3, will play supp if i'm lowest mmr"
mid or courier adventure,49,Cerys,https://www.dotabuff.com/players/83833103,3849,1,1,1,1,5,"I only play 5, and I don't play that many heroes. Low value, blah blah."
Bocasa,70,Bitemetwitch,https://www.dotabuff.com/players/118858955,3822,1,1,1,5,5,"Unofficial Official Caster of the RD2L & AD2L communities (proof https://www.youtube.com/channel/UCdQf2vkPiz6WTavIx5zM5Lg)
Willing to drop my rivalry with Hobo if he drafts me.
Willing to support
Statements from the community
""No all please"" Hobo 
""Would like to Co-cast with you"" Redground (never happened btw)
""I will have weaver PTSD for a while after that series"" Avro
""You need to be more greedy when playing support"" Halfcast / Emo"
Beach Jeans,37,Dream,https://www.dotabuff.com/players/58762087,3806,4,2,3,3,3,http://tcpm.mrlazyinc.com/files/images/games/memes/gsl_mvp_keen_celebrate_2.gif
juicy,40,Woh?,https://www.dotabuff.com/players/152985237,3679,1,1,1,2,3,Me + Chowmains = package deal
juicy,92,mediocre,https://www.dotabuff.com/players/45226038,3618,2,1,3,4,4,"I am may try to be a stand-in for the sunday est games, and regular-in for the pst sun/wednesday.
https://www.dotabuff.com/players/45226038

3.6k mmr at the moment https://i.imgur.com/ITQaPv9.png, mainly playing support positions"
