Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
redground,315,MGHappyhobo,https://www.dotabuff.com/players/260316741,6820,2,2,5,1,1,"""Will be on vacation for the month before and a little after player draft. So I will not have played Dota for a month, and might miss first week, not clear yet. Also please don't draft me if you're one of the cringers who made my last few seasons kinda a bummer."""
toth,359,Polo5885,https://www.dotabuff.com/players/109428465,6360,4,5,1,1,1,"""pls no more 2 immortal 3 archon teams"""
Rhyzerz,275,Big Chill,https://www.dotabuff.com/players/991320425,6340,2,1,5,2,1,"""Always available i want to scrim whenever and win this season. Always positive no flaming."""
shadonra,250,Jotatoe,https://www.dotabuff.com/players/85872822,6060,1,4,3,4,4,"""High MMR, Low Value. Washed and rusty. I've played dota like 1/10th of the amount that I normally play. I think I've played like 10 games in the last month and a half, and 90% of those games were as a support. On top of that I'm a hero spammer. If you're going try hard this season, you could get more value out of other similar ranked players."""
robE1337,300,Tokyo,https://www.dotabuff.com/players/126604881,6020,5,4,4,1,1,"""pos 1 :)"""
Nifuji,300,Frostbreath,https://www.dotabuff.com/players/491161311,5660,2,2,5,3,2,"""Honestly I'm probably a grief, I suck at dota and am only trying to get better by finding more people to play with. If you pick me for any pos other than 3 that's a giga grief.
 
 I want a team that will practice or at least play with eachother. Doesn't have to be full five man scrims, but at least 1 or 2 days a week just play a game or 2.
 
 Not 100% sure on my mental, Im a little tilted maybe last season for a bit...
 
 Smurf: https://www.dotabuff.com/players/81761015"""
TheMantis,259,THE CHAZZ,https://www.dotabuff.com/players/298148498,5610,3,5,4,1,1,"""hi."""
ZombieExpert,240,dog,https://www.dotabuff.com/players/904350779,5390,1,2,1,1,1,"""no mic. fan de ultragunner. experimental builds
 
 https://imgur.com/a/yiJ7VDz"""
SMACK,169,MidOrChen,https://www.dotabuff.com/players/96634411,5280,1,1,3,2,1,"""Hello! I recently picked up Dota 2 after being a long time LOL/HOTS player. Im plat 3 in LOL, but I got into dota because I was looking for a more casual game to play. So far i've had a lot of fun playing, and my friend recommended I play rd2l. I can only play Sundays or at 4AM on Thursdays. I also cant talk in discord because my cat chewed my mic cord and I cant buy a new one rn. I look forward to playing this season and hope to meet some cool new people!(id like to team w/ my friend smack pls)"""
[PDF] Saltpork,225,heart cold like december,https://www.dotabuff.com/players/188649776,5150,3,5,2,1,1,"""(mid mfkaaaaa)
 
 Proper Skux.
 
 Did you fall out of the nest as a baby?
 
 Starting to feel a bit nutty.
 
 Time to die!
 
 Yeah, nah, lets not.
 
 Caught you in your stubbies did we?
 
 Acorn shot, Bushwack, Boomerang, Sharpshooter"""
