Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
Vuvuzela Virtuoso Hans Rudolph,305,tongni,https://www.dotabuff.com/players/183970015,7000,5,1,5,5,5,"i play all roles but mid, decent hero pool, prefer offlane but very flexible "
ShadowAce,322,Zewqew,https://www.dotabuff.com/players/79089948,6946,5,5,1,1,3,"Once more into the breach
Prefer not to draft 
Please draft an ancient or higher support "
redground,315,MGHappyhobo,https://www.dotabuff.com/players/260316741,6746,5,4,4,1,1,Pos1 player now. Rd2l is fun again.
ALooseMoose,276,slowz-,https://www.dotabuff.com/players/170288961,6391,5,5,5,5,5,so i missclieckd and signed for weds xd fuck pstwed
Ridin' heelies escapin' feelies,246,Beach Jeans,https://www.dotabuff.com/players/87336063,6000,2,1,3,4,5,"Oh no! My toes are built for tap-dance, but I lack the prerequisite shoes to make the floor sing. :("
DoomCow33,231,Ratman,https://www.dotabuff.com/players/171871486,5946,1,2,2,5,4,Possible I miss a couple Sundays due to work.  Won't have much time to play outside of Sundays.  
mid or courier adventure,133,PiNGdingDONG,https://www.dotabuff.com/players/332242377,5600,3,3,4,5,4,washed toxic p4 tinker spammer
KatzeHund,257,Sokaza,https://www.dotabuff.com/players/83999083,5300,5,1,5,3,3,"back from hiatus. not a div 4 player atm and decay was too slow
https://www.twitch.tv/vuvuzelavirtuoso/clip/AbrasiveAverageCormorantWow-EgrIzCVhOaLlZt0W"
Ridin' heelies escapin' feelies,127,Tokc,https://www.dotabuff.com/players/96895570,5205,5,1,1,1,1,"Property of BJ
Memory of a goldfish
Mental Melties r my specialty."
KatzeHund,143,yolksoup,https://www.dotabuff.com/players/112220059,5200,2,5,1,1,1,I am playing mid to complete my all roles RD2L challenge. Draft me support and I'll buy midas every game and afk farm. Pos 1 works too I guess. NEW CAPTAINS DO NOT GET BAITED BY ME
ShadowAce,145,Treebeard,https://www.dotabuff.com/players/95576973,5173,1,1,1,1,1,me + tokc + moca 📦 deal
juicy,145,Littletimmy,https://www.dotabuff.com/players/171096094,5105,5,4,4,4,4,hola
juicy,51,ImDBreeezy,https://www.dotabuff.com/players/219743381,5021,3,3,2,4,4,"I like to play 4 and 5 mainly these days. I used to be a mid and carry player, so I am pretty versatile and my hero pool is basically anything! "
juicy,184,AwfulWaffLE,https://www.dotabuff.com/players/64041417,5000,1,2,3,4,5,
Ridin' heelies escapin' feelies,178,Simple,https://www.dotabuff.com/players/351936929,4936,5,1,1,1,1,Haven’t touched dota in months and is currently uninstalled. Draft at low divine value not tryharding this season. Might carry to finals and leave again.
juicy,147,George,https://www.dotabuff.com/players/240889153,4701,5,3,5,5,2,"Washed carry player. Also looking for girlfriend HMU. 
"
