Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
YungBuck,410,Simple,https://www.dotabuff.com/players/351936929,6130,1,1,1,5,5,Super good support player here. If you pay over 200 for a support player ur dumb :)'
TheMantis,345,quad_buck,https://www.dotabuff.com/players/456063778,6070,1,1,5,1,1,pos 3 only don't pick me for any other role. I also don't draft or shotcall much. My mmr is gained through mid and my offlane is significantly worst so draft with caution'
PooNaNi,369,SteveyRuggles,https://www.dotabuff.com/players/83514255,5820,1,1,5,1,1,"Finally calibrated at 5820, which means I've been rigging the league by a whole 20 mmr based on what the admins set my mmr to previously (5800). Rank is representative of my mid lane. Want to play offlane this season, new and very raw to the position, so it could be fine or a disaster. Enjoy talking about dota and willing to play games here and there outside of officials if team is fun to play with, which is main priority.'"
ZombiesExpert,350,Polo5885,https://www.dotabuff.com/players/109428465,5810,5,1,1,1,1,"i am noob (as per last season) and i play way less than i used to.
 Only want to play carry.'"
djconrad,215,ascii enjoyer(pma),https://www.dotabuff.com/players/991320425,5770,2,1,5,2,2,climbed from 1k mmr to 6k mmr (peak) playing offlane and i am ready to improve and work with a team to win some games!! I prefer not to captain as I am new to rd2l but i can if needed. I can play pos 4/5 if needed but really prefer offlane. I am not what you want mid or carry typically but i can flex any role if needed.'
Vuvuzela Virtuoso Hans Rudolph,261,Dr. Sulaiman Al Habib,https://www.dotabuff.com/players/99106966,5600,5,1,5,4,3,Playing PDCI
Chraos,340,Keynote,https://www.dotabuff.com/players/110580215,5570,5,3,3,4,4,"https://www.dotabuff.com/players/110580215
 Strong 1 player across board
 Strong 2 player mechanically and on farmers -- good at cheese
 Greedy 3 player
 Experienced in 4/5 can shotcall/lead from these roles if needed
 Have no problem with drafting'"
Effjai,180,Wallaby,https://www.dotabuff.com/players/120315846,5450,3,1,2,5,4,literally no other leagues rn Im a noob pos4 player
Clare â¤ Teresa,200,Citrus King,https://www.dotabuff.com/players/37544998,5310,1,1,2,5,5,Looking to play POS 4 or POS 5.'
Effjai,200,Mindflayer; Pussyslayer,https://www.dotabuff.com/players/84460455,5160,1,1,5,3,5,"me primal beast player, me pick dinosaur, me no bkb, me stomp'"
DoomCow33,180,doofgod,https://www.dotabuff.com/players/41319577,5020,1,1,3,3,1,Why are we still here? Just to suffer.'
smacktrickz,274,Zewqew,https://www.dotabuff.com/players/79089948,4990,5,5,2,1,1,"Prefer to play mid or carry (looking to play carry over mid but will do either) , free most weekends'"
キZend,130,gankbot,https://www.dotabuff.com/players/147316287,4940,3,1,3,5,4,
MGHappyhobo,52,PiNGdingDONG,https://www.dotabuff.com/players/332242377,4930,2,2,4,5,4,"I love doofgod, p4 tinker spammer :)'"
